,Dropout 0,Dropout 0.2,Dropout 0.4,Dropout 0.6,Dropout 0.8
1,274.98,243.7,214.66,208.87,225.5
2,134.23,129.97,124.53,129.18,152.25
3,102.01,96.68,95.48,102.26,130.33
4,91.26,84.52,83.41,86.75,118.38
5,86.06,81.29,77.2,81.71,112.17
6,86.96,74.82,73.41,76.39,104.66
7,69.48,74.85,70.3,73.22,98.45
8,70.76,64.08,67.71,70.7,94.95
9,68.89,63.75,66.75,68.27,92.62
10,69.51,64.08,65.09,67.29,91.06
11,69.07,62.35,64.67,66.09,89.28
12,68.92,62.32,64.4,64.51,87.31
13,68.89,62.48,64.28,64.29,86.55
14,68.87,61.91,64.83,63.11,84.94
15,68.87,61.85,59.49,63.38,84.69
16,68.86,61.9,59.41,58.49,83.37
17,68.87,61.79,59.69,57.93,82.88
18,68.86,61.75,58.67,57.72,81.07
19,68.86,61.76,58.75,57.76,81.02
20,68.86,61.74,58.55,56.84,80.38
